JUPAS Code,Institution,Name (EN),Name (ZH),Formula 2025,Weights 2025 (Raw),Min Chi,Min Eng,Min Math,Min CSD,2025 Median,2025 LQ,2025 UQ
JS4032,CUHK,English,英文,Best 5 subjects,English (x 1.5),3,3,2,A,27.25,26.5,28.5
JS4044,CUHK,Fine Arts,藝術,Best 5 subjects,--,3,3,2,A,26.0,24.5,27.5
JS4056,CUHK,History,歷史,Best 5 subjects,--,3,3,2,A,26.5,26.0,28.0
JS4068,CUHK,Japanese Studies,日本研究,Best 5 subjects,--,3,3,2,A,24.5,23.0,26.0
JS4070,CUHK,Linguistics,語言學,Best 5 subjects,--,3,3,2,A,24.5,24.5,24.5
JS4082,CUHK,Music,音樂,Best 5 subjects,--,3,3,2,A,24.5,22.5,27.5
JS4094,CUHK,Philosophy,哲學,5 subjects,Chinese and English must be included | in the score calculation | (i.e. Chi + Eng + Best 3 subjects),3,3,2,A,24.5,23.0,25.0
JS4100,CUHK,Public Humanities,公共人文學,Best 5 subjects,--,3,3,2,A,23.5,23.0,24.5
JS4109,CUHK,Religious Studies,宗教研究,Best 5 subjects,--,3,3,2,A,21.5,21.0,22.0
JS4111,CUHK,Theology,神學,Best 5 subjects,--,3,3,2,A,,,
JS4123,CUHK,Translation,翻譯,Best 5 subjects,--,3,3,2,A,23.0,23.0,26.0
JS4136,CUHK,Chinese Studies,中國研究,Best 5 subjects,English (x 1.25) | Specific Subject Weighting / Remarks | (subject weighting = 1 if not specified),3,3,2,A,24.25,24.25,24.75
JS4202,CUHK,Integrated Bachelor of Business Administration Programme,工商管理學士綜合課程,Best 5 subjects,--,3,3,2,A,26.0,26.0,27.5
JS4214,CUHK,Global Business Studies,環球商業學,Best 5 subjects,--,4,5,3,A,38.0,36.5,41.0
JS4226,CUHK,Hospitality and Real Estate,酒店旅遊及房地產,Best 5 subjects,--,3,3,2,A,23.5,23.0,24.5
JS4238,CUHK,"Insurance, Financial and Actuarial Analysis",保險、金融與精算學,Best 5 subjects,"English (x 1.25) | Mathematics (x 1.5) | M1 or M2 (x 1.5) | The best one subject of Chemistry, | Physics, Economics or ICT (x 1.25)",3,3,5,A,41.75,40.25,42.5
JS4240,CUHK,Professional Accountancy,專業會計學,Best 5 subjects,--,3,3,3,A,26.0,26.0,27.5
JS4252,CUHK,Quantitative Finance,計量金融學,Best 5 subjects,"English (x 2) | Mathematics (x 2) | The best one subject of M1/M2, | Chemistry, Physics or Economics (x 1.5)",3,3,3,A,52.5,51.75,54.75
JS4254,CUHK,Interdisciplinary Major Programme in Global Economics and Finance,環球經濟與金融跨學科主修課程,5 subjects,English must be included in the score | calculation (i.e. Eng + Best 4 subjects),4,5,4,A,35.0,33.5,35.0
JS4264,CUHK,Bachelor of Business Administration (Integrated BBA Programme) and Juris Doctor Double Degree Programme,工商管理學士（工商管理學士綜合課程）及法律博士雙學位課程,5 subjects,"English (x 2) | Chinese, English and Mathematics | must be included in the score | calculation (i.e. Chi + Eng + Math + Best | 2 subjects)",4,5,3,A,37.5,36.0,37.5
JS4276,CUHK,Quantitative Finance and Risk Management Science,計量金融學及風險管理科學,Best 5 subjects,"English (x 2) | Mathematics (x 2) | The best one subject of M1/M2, | Chemistry, Physics or Economics (x 1.5)",3,3,3,A,57.75,54.75,63.75
JS4725,CUHK,"Biotechnology, Entrepreneurship and Healthcare Management",生物科技、創業與醫療管理,Best 5 subjects,--,3,4,3,A,27.5,27.5,29.0
JS4760,CUHK,Interdisciplinary Data Analytics & X Double Major Programme,跨學科數據分析及Ｘ雙主修課程,Best 5 subjects,Mathematics (x 1.5) M1 or M2 (x 2) Economics or ICT (x 1.5),3,3,3,A,35.0,34.75,37.0
JS4320,CUHK,Human Movement Science and Health Studies,人體運動科學與健康研究,Best 5 subjects,--,3,3,2,A,26.0,24.5,27.5
JS4329,CUHK,"Physical Education, Exercise Science and Health",健康與體育運動科學,Best 5 subjects,--,3,3,2,A,27.5,26.0,29.0
